CountryID,CountryName,ContinentID
1,Ukraine,3
2,France,3
3,Germany,3
4,Italy,3
6,"Bosnia and Herzegovina",3
7,"United Kingdom",3
11,Russia,3
12,Switzerland,3
16,Belgium,3
