CategoryID,Categoryname
1,Politics
2,"Alien life"
3,Exploration
4,"Natural world"
5,"Death and disaster"
6,"War and conflict"
7,Sports
8,"Economy and Society"
9,"Entertainment and culture"
10,"Health and medicine"
11,"Love and relationships"
12,"Science and technology"
13,Old
14,Transport
15,Energy
16,"Royalty and monarchy"
17,"Crime and legal"
18,Religion
19,Education
20,General
