CountryID,CountryName,ContinentID
6,"Bosnia and Herzegovina",3
7,"United Kingdom",3
8,Japan,1
9,Indonesia,1
10,Vietnam,1
11,Russia,3
12,Switzerland,3
13,Space,8
14,Argentina,5
15,Antarctica,7
